oil_value_2014,gas_value_nom,oil_price_nom,oil_gas_value_2014,oil_value_nom,gas_prod55_14,gas_value_2014,mult_nom_2014
22135764009,0,162.69,22135764009,1277900840,0,0,3239.208973
19717445559,0,125.29,19717445559,1079988980,0,0,3414.07402
30016794025,0,187,30016794025,1698745695,0,0,3304.285332
30889994841,0,181.39,30889994841,1792101071,0,0,3223.271906
37402731082,0,203.83,37402731082,2190398217,0,0,3193.168556
44192823074,0,220.66,44192823074,2681734669,0,0,3081.609084
42235602110,0,211.31,42235602110,2515268921,0,0,3140.044998
40186242909,0,190.74,40186242909,2359295294,0,0,3185.200022
40937014997,0,190.74,40937014997,2426643892,0,0,3154.653976
36308863307,0,213.18,36308863307,2259469660,0,0,3005.02262
32084251934,0,222.53,32084251934,2210168915,0,0,2714.613834
33721540508,0,224.4,33721540508,2464849497,0,0,2558.342033
37607959584,0,226.27,37607959584,2796836833,0,0,2514.515098
37574179693,0,196.35,37574179693,2858747154,0,0,2457.849969
39343577908,0,209.44,39343577908,3249106214,0,0,2264.391677
64847901233,0,355.3,64847901233,6122596514,0,0,1980.623336
71912298734,0,372.13,71912298734,7317894311,0,0,1837.632424
64886564298,0,332.86,64886564298,6536806231,0,0,1856.22567
69093207585,0,319.77,69093207585,7031019723,0,0,1837.632424
72287756716,0,319.77,72287756716,7939463609,0,0,1702.610047
74558547094,0,319.77,74558547094,8365042477,0,0,1666.751645
88981478127,0,360.91,88981478127,10063399281,0,0,1653.470755
92966761105,0,360.91,92966761105,10565032426,0,0,1645.502221
1.05273E+11,3792886027,360.91,1.38783E+11,11915471945,1968.133928,33510100709,1652.142666
1.13765E+11,4454249426,360.91,1.52549E+11,13065698000,2118.022087,38783818243,1628.237065
1.14774E+11,4826848503,355.3,1.55328E+11,13660703198,2295.2282,40554025771,1571.12924
1.26982E+11,5547503174,388.96,1.72383E+11,15515959295,2395.322572,45400563606,1530.401178
1.37016E+11,6653705453,388.96,1.90997E+11,16888576284,2667.203795,53981131214,1517.120289
1.35509E+11,9546872141,355.3,2.11742E+11,16970254773,3541.779788,76232779139,1493.214687
1.371E+11,11217041771,336.6,2.25793E+11,17339148560,3944.080347,88692951864,1478.605709
1.45538E+11,13171655948,336.6,2.48563E+11,18606783011,4333.78824,1.03025E+11,1462.668641
1.54644E+11,14322371803,336.6,2.65348E+11,20007177955,4720.567218,1.10704E+11,1445.403485
1.64584E+11,15113196356,336.6,2.79791E+11,21590796887,5273.783214,1.15206E+11,1425.48215
1.73823E+11,17581228835,336.6,3.05595E+11,23191674549,5777.245899,1.31772E+11,1401.576549
1.83944E+11,19030785278,336.6,3.22707E+11,25227347891,6260.044228,1.38762E+11,1363.504666
1.92473E+11,20518767261,336.6,3.37859E+11,27164274404,6754.638173,1.45386E+11,1324.990086
2.00314E+11,22746104336,336.6,3.5502E+11,29451827394,7524.569686,1.54706E+11,1271.866527
2.05648E+11,26658135513,336.6,3.77684E+11,31866455625,8238.750244,1.72036E+11,1206.790168
2.12942E+11,35101168970,336.6,4.26834E+11,34945318717,10835.00447,2.13892E+11,1139.500328
2.69203E+11,38056881788,418.88,4.91375E+11,46112859505,11527.98634,2.22173E+11,1091.689125
3.05297E+11,39989706312,463.76,5.31653E+11,53936030722,12113.93757,2.26356E+11,1058.486901
4.15098E+11,44806591609,615.23,6.53869E+11,77895265181,12853.04219,2.38771E+11,996.5094163
1.33215E+12,49892537323,2165.46,1.57181E+12,2.77337E+11,13189.57676,2.39652E+11,898.2308333
1.17113E+12,61672035041,2156.11,1.44254E+12,2.6611E+11,13147.43755,2.71414E+11,822.9724589
1.33329E+12,82643776078,2393.6,1.67704E+12,3.20544E+11,13991.38285,3.43753E+11,777.8174342
1.41175E+12,1.13288E+11,2603.04,1.854E+12,3.61636E+11,14297.96422,4.4225E+11,730.0062317
1.32703E+12,1.14168E+11,2621.74,1.74157E+12,3.65481E+11,15001.8489,4.14534E+11,678.9820859
2.82564E+12,1.54028E+11,5911.07,3.3279E+12,8.6654E+11,15882.06997,5.0226E+11,609.7745455
2.80563E+12,2.37369E+11,6887.21,3.48759E+12,9.76548E+11,16103.51488,6.81962E+11,537.2528155
2.37747E+12,3.02541E+11,6718.91,3.16539E+12,9.12882E+11,16518.07331,7.87924E+11,487.0146535
1.95255E+12,3.35448E+11,6165.39,2.77548E+12,7.95913E+11,16846.3062,8.22929E+11,458.7526632
1.68686E+12,3.10837E+11,5525.85,2.42568E+12,7.09699E+11,17188.5531,7.38819E+11,444.4742169
1.58553E+12,3.27828E+11,5381.86,2.33248E+12,6.95865E+11,18499.6105,7.46955E+11,426.07923
1.46695E+12,3.34662E+11,5153.72,2.20326E+12,6.66752E+11,19406.28085,7.36307E+11,411.4278067
7.89119E+11,3.05805E+11,2698.41,1.44966E+12,3.65333E+11,20330.68288,6.6054E+11,403.92
9.81855E+11,1.79049E+11,3447.352368,1.35498E+12,4.71152E+11,16349.0034,3.73128E+11,389.6974648
7.91851E+11,1.73022E+11,2790.758398,1.13809E+12,3.95698E+11,17208.39426,3.46243E+11,374.2149789
9.2687E+11,1.78812E+11,3408.283187,1.26825E+12,4.85486E+11,17724.27371,3.41381E+11,357.0131613
1.15278E+12,2.19778E+11,4436.728396,1.55087E+12,6.36443E+11,16473.70407,3.98083E+11,338.711798
7.98511E+11,2.08951E+11,3740.633032,1.1617E+12,4.59403E+11,13563.52062,3.63187E+11,325.0340088
7.56093E+11,1.73774E+11,3612.996444,1.04931E+12,4.48094E+11,13833.49728,2.93219E+11,315.5355096
6.45098E+11,1.82112E+11,3173.695595,9.43455E+11,3.93758E+11,14348.80379,2.98357E+11,306.3642353
5.93621E+11,1.68788E+11,2957.837942,8.63244E+11,3.71615E+11,14549.37395,2.69623E+11,298.7154656
6.33144E+11,1.84921E+11,3182.119104,9.20398E+11,4.0759E+11,16207.83021,2.87253E+11,290.4831496
7.69577E+11,1.86449E+11,3865.007331,1.0509E+12,5.10048E+11,16485.8513,2.81321E+11,282.1518929
7.15021E+11,1.99497E+11,3570.313862,1.00928E+12,4.84763E+11,16551.14524,2.94256E+11,275.8232523
4.78566E+11,1.75E+11,2377.8287,7.3273E+11,3.29507E+11,16342.05333,2.54164E+11,271.5928344
6.47444E+11,1.73096E+11,3360.404549,8.93411E+11,4.55631E+11,15838.75746,2.45967E+11,265.7240816
1.03375E+12,3.30689E+11,5328.649,1.48837E+12,7.5194E+11,16491.98735,4.54622E+11,257.0826481
7.88109E+11,4.49856E+11,4571.007636,1.38945E+12,5.89577E+11,21014.70114,6.01339E+11,249.9696894
7.82903E+11,4.25846E+11,4679.348835,1.34329E+12,5.94942E+11,21129.84114,5.60383E+11,246.0791106
9.15265E+11,7.49539E+11,5391.34148,1.87963E+12,7.11378E+11,21884.85406,9.64364E+11,240.5958261
1.24159E+12,8.14456E+11,7155.555,2.26229E+12,9.90707E+11,22590.52558,1.0207E+12,234.3548544
1.74689E+12,1.29889E+12,10195.44374,3.32136E+12,1.44113E+12,23481.23855,1.57447E+12,226.675023
2.01904E+12,8.82756E+11,12181.93969,3.05564E+12,1.71937E+12,24105.90223,1.03661E+12,219.5914286
2.16996E+12,9.37261E+11,13536.75766,3.24009E+12,1.90053E+12,24909.9678,1.07013E+12,213.5102005
2.83941E+12,1.23981E+12,18186.86691,4.20264E+12,2.58234E+12,25879.0803,1.36323E+12,205.6154907
1.77498E+12,5.21394E+11,11532.52652,2.35032E+12,1.60854E+12,24736.67418,5.75344E+11,206.3496367
2.3086E+12,6.45741E+11,14865.66478,3.00966E+12,2.12644E+12,26624.2781,7.0106E+11,203.0195546
3.14684E+12,5.84914E+11,20804.79683,3.76243E+12,2.99003E+12,27352.20073,6.1559E+11,196.8072766
3.16978E+12,3.76249E+11,20882.23435,3.55774E+12,3.07416E+12,26127.08762,3.87953E+11,192.8170248
3.05626E+12,5.3804E+11,20319.14283,3.60303E+12,3.00747E+12,26807.43335,5.46768E+11,190.0334912
2.78295E+12,5.4673E+11,18502.90348,3.32968E+12,2.78295E+12,23227.6902,5.4673E+11,187
